"Yes, Cancel sale","Si, cancelar venta"
Payment Request took too long to respond. Please try requesting for payment again,La solicitud de pago tardó demasiado en responder. Por favor, inténtalo nuevamente.
Payment saved offline,Pago guardado offline
Payment submitted but print function could not be executed. Payment name not found.,Pago enviado pero la función de impresión no pudo ser ejecutada. Nombre de pago no encontrado.
Payments,Pagos
Peak,Pico
Peak Memory,Memoria Pico
Peak Server,Servidor Pico
Pending,Pendiente
Pending Invoices,Facturas Pendientes
Period End Date,Fecha de Fin del Período
Period Start Date,Fecha de Inicio del Período
Please allow camera access to scan codes,Permita el acceso a la cámara para escanear códigos
Please configure a POS Profile first,Configure un Perfil POS primero
Please make a payment or select an payment,Haga un pago o seleccione un pago
Please request phone payment or use another payment method,Solicite un pago por teléfono o use otro método de pago
Please select a customer,Seleccione un cliente
Please select a customer first,Seleccione un cliente primero
Please select an invoice,Seleccione una factura
Please set the customer's mobile number,Ingrese el número de celular del cliente
POS,POS
POS Awesome,POS Awesome
POS Awesome Advance Settings,Configuración Avanzada de POS Awesome
POS Awesome Settings,Configuración de POS Awesome
POS Closing Shift,Cierre de Turno POS
POS Closing Shift {} against {} between selected period,
POS Closing Shift Detail,Detalles de Cierre de Turno POS
POS Closing Shift Taxes,Cierre de Turno POS Impuestos
POS Offer,Oferta POS
POS Offer Detail,Detalles de Oferta POS
POS Offers,Ofertas POS
POS Offers Detail,Detalles de Ofertas POS
POS Opening Shift,Turno de Apertura POS
POS Opening Shift Detail,Detalles de Turno de Apertura POS
POS Profile,Perfil POS
POS Profile {} does not belongs to company {},Perfil POS {} no pertenece a la compañía {}
POS Shift,Turno POS
POS Transactions,Transacciones POS
Position the QR code or barcode within the scanning area,Posicione el código QR o código de barras dentro del área de escaneo
Posting Date,Fecha de Asiento
Price,Precio
Price Discount Scheme ,Esquema de Descuentos de Precio
Price list Rate,Tarifa de Lista de Precios
Pricing & Discounts,Precios y Descuentos
Print Draft,Imprimir Borrador
Print Last Invoice,Imprimir Última Factura
Printed,Impreso
Processing Payment,Procesando Pago
Product Discount Scheme,Esquema de Descuentos de Producto
Promo Type,Tipo de Promoción
QTY,Cantidad
Qualifying Transaction / Item,
Quantity and Amount Conditions,Condiciones de Cantidad y Valor
Quick Actions,Acciones Rápidas
Rate,Tarifa
Ready!,Listo!
Reconcile payment methods and close shift,Reconciliar métodos de pago y cerrar turno
Referral Code,Código de Referencia
Reload Items,Recargar Artículos
Remove,Eliminar
Remove local data and refresh,Eliminar datos locales y actualizar
Replace Cheapest Item,Reemplazar Artículo Más Barato
Replace Same Item,Reemplazar Artículo Igual
Reprint previous transaction,Reimprimir transacción anterior
Request,Solicitar
Required columns cannot be hidden,Las columnas requeridas no se pueden ocultar
Retry,Reintentar
RETURN,DEVOLUCIÓN
Return,Devolución
Return Invoice Total Not Correct,Total de la Factura de Devolución Incorrecto
Return Invoice Total should not be higher than {0},El total de la factura de devolución no debe ser mayor que {0}
Return without Invoice,Devolución sin Factura
Rounded Total,Total Redondeado
Row ID,ID de Fila
Rows,Filas
Sales Invoice,Factura de Venta
Sales Invoice Reference,Referencia Factura de Venta
Sales Manager,Gestor de Ventas
Sales Master Manager,Gestor de Ventas Maestro
Sales Person not found,Vendedor no encontrado
Sales Return,Devolución de Venta
Sales Summary,Resumen de Ventas
Sales User,Usuario de Ventas
Save & Clear,Guardar y Limpiar
Scale Barcode Start With,Escala Código de Barras Inicia con
Scan QR Code/Barcode,Escanear Código QR/Código de Barras
Scan with Camera,Escanear con Cámara
Search,Buscar
Search by Serial Number,Buscar por Número de Serie
Search Items,Buscar Artículos
Search Mpesa Payments,Buscar Pagos Mpesa
Secure context (HTTPS) required for camera access.,Contexto seguro (HTTPS) requerido para el acceso a la cámara.
Select,Seleccionar
Select a customer to use coupon,Seleccionar un cliente para usar cupón
Select Columns to Display,Seleccionar Columnas para Mostrar
Select Hold Invoice,Seleccionar Factura en Espera
Select Language,Seleccionar Idioma
Select Payment,Seleccionar Pago
Select Return Invoice,Seleccionar Factura de Devolución
Select S.O,Seleccionar S.O
Select Sales Orders,Seleccionar Ordenes de Venta
Selected POS Opening Shift should be open.,El Turno de Apertura POS debería estar abierto.
Selected Serial No QTY is {0} it should be {1},La cantidad de serie seleccionada es {0} debería ser {1}
Selected serial numbers of item {0} is incorrect,Los números de serie seleccionados del artículo {0} son incorrectos
Send invoice to submit after printing,Enviar factura para enviar después de imprimir
Serial Numbers,Numeros de Serie
Server CPU Usage,Uso de CPU del Servidor
Server Health,Estado del Servidor
Server Memory Usage,Uso de Memoria del Servidor
Server Metrics,Métricas del Servidor
Server Uptime,Tiempo de Servidor
Set Posting Date,Asignar Fecha de Asiento
Settings,Configuraciones
Setup complete!,Configuración completa!
Show Template Items,Mostrar Artículos Plantilla
Sign out of session,Cerrar sesión
Size,Tamaño
Slow Queries,Consultas Lentas
Status,Estado
Status must be one of {0},El estado debe ser uno de {0}
Stock Information,Información de Stock
Stock QTY,Cantidad en Stock
Stock UOM,Unidad de Medida de Stock
Submit,Enviar
Submit & Print,Enviar e Imprimir
Submit Payments,Registrar Pagos
Successfully scanned,Escaneado exitosamente
Switch Camera,Cambiar Cámara
Switch theme appearance,Cambiar apariencia del tema
Switched to,Cambiado a
Sync All,Sincronizar Todo
Sync Offline Invoices,Sincronizar Facturas Sin Conexión
Synced,Sincronizado
System Information,Información del Sistema
System Manager,Gestor de Sistema
Tables,Tablas
Taking longer than expected...,Demorando mas de lo esperado...
Tax and Charges,Impuestos y Cargos
Tax ID,ID de Impuesto
Taxes,Impuestos
Territory not found,Territorio no encontrado
The app stores data locally for offline use. This is called cache.,La aplicación almacena datos localmente para uso sin conexión. Esto se llama caché.
The discount should not be higher than {0}%,El descuento no debe ser mayor que {0}%
The existing batch quantity of item {0} is not enough,La cantidad existente del lote del artículo {0} no es suficiente
The existing quantity of item {0} is not enough,La cantidad existente del artículo {0} no es suficiente
The item {0} cannot be returned because it is not in the invoice {1},El artículo {0} no puede devolverse porque no está en la factura {1}
The QTY of the item {0} cannot be greater than {1},La cantidad del artículo {0} no puede ser mayor que {1}
There is no Customer !,No hay Cliente !
There is no Items !,No hay Artículos !
These invoices will be synced when connection is restored,Estas facturas se sincronizarán cuando se restablezca la conexión
This coupon already used !,Este cupón ya ha sido usado !
This invoice {0} cannot be deleted,Esta factura {0} no puede ser eliminada
This is an item template. Please choose a variant.,Este es un artículo plantilla. Por favor, elija una variante.
Time,Tiempo
Tip Clear cache regularly to free up space and keep the app fast.,Consejo: Limpiar la caché regularmente para liberar espacio y mantener la aplicación rápida.
Tip Close unused tabs or apps to reduce lag.,Consejo: Cerrar pestañas o aplicaciones inactivas para reducir la latencia.
Tip Monitor slow queries and table size for optimal performance.,Consejo: Monitorear consultas lentas y tamaño de tabla para optimizar rendimiento.
Title,Título
To Be Paid,A Pagar
To Sync,A Sincronizar
Top Tables,Top Tablas
Total,Total
Total Amount,Valor Total
Total Invoices,Total de Facturas
Total Mpesa,Total Mpesa
Total Outstanding,Total Pendiente
Total Payments,Total de Pagos
Total Qty,Cantidad Total
Total Quantity,Cantidad Total
Total Selected ,Total Seleccionado
Total Size,Tamaño Total
Total Unallocated,Total No Asignado
Transaction,Transacción
Type,Tipo
Unallocated,No Asignado
Unknown error,Error desconocido
Unknown error,Error desconocido
UOM,UOM
UOM not found,Unidad de Medida no encontrada
Update,Actualizar
Update Customer,Actualizar Cliente
Updates automatically,Actualizaciones automáticas
Upload pending transactions,Subir transacciones pendientes
Usage,Uso
Usage Stats,Estadísticas de Uso
Use Browser Local Storage,Usar Almacenamiento Local del Navegador
Use Cashback,Usar Cashback
Use Customer Credit,Usar Crédito del Cliente
Use date range to search for older invoices,Usar rango de fechas para buscar facturas antiguas
Used,Usado
User {} has been disabled. Please select valid user/cashier,El usuario {} ha sido deshabilitado. Por favor, seleccione un usuario/cajero válido
Using cached customer balance,Usando saldo de cliente en caché
Valid From,Válido Desde
Valid Upto,Válido Hasta
Verify closing amounts for each payment method,Verificar cantidades de cierre para cada método de pago
Waiting for payment,Esperando pago
Warehouse,Almacén
Warning High cache usage may affect performance.,Advertencia: El uso alto de caché puede afectar el rendimiento.
Warning High lag may indicate heavy processing or browser slowness.,Advertencia: La latencia alta puede indicar un procesamiento pesado o una lentitud del navegador.
Work without server connection,Trabajar sin conexión al servidor
"Yes, Cancel sale","Si, Cancelar venta"
